Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
      Land rent,9574,15638,9434,15857,13648,7805,6494,11794,6485,11932,6762,9563,16190,3736,16190,3736,...,...,15996,4263,15996,4263,...,...,4568,11603,4568,11603,...,...,9327,18995,9327,18995,...,...
      Other inputs,259,467,263,474,125,177,438,291,439,296,410,14,566,1012,566,1012,...,...,723,938,723,938,...,...,1598,577,1598,577,...,...,1545,479,1545,479,...,...
      Interest on capital,14,15,13,15,25,7,12,13,11,13,23,11,1424,1357,1424,1357,...,...,1645,1798,1645,1798,...,...,1332,2581,1332,2581,...,...,873,1810,873,1810,...,...
 Total Other Costs,12149,,12056,,14849,,9181,,9235,,7628,,21980,,21980,,0,,21735,,21735,,0,,11609,,11609,,0,,13235,,13235,,0,
Total Cost of Production,42256,,42441,,36885,,41322,,41481,,36706,,63698,,63698,,0,,65088,,65088,,0,,63868,,63868,,0,,58174,,58174,,0,
NET RETURNS,16326,,16034,,24840,,14216,,14483,,5368,,17900,,17900,,0,,23043,,23043,,0,,45240,,45240,,0,,58777,,58777,,0,
Cost/kg,7.7,,7.74,,6.51,,8.03,,7.98,,10.03,,11.8,,11.8,,0,,11.93,,11.93,,0,,10.58,,10.58,,0,,9.98,,9.98,,0,
Net Profit Cost Ratio,0.39,,0.38,,0.67,,0.34,,0.35,,0.15,,0.28,,0.28,,0,,0.35,,0.35,,0,,0.71,,0.71,,0,,1.01,,1.01,,0,
Net Profit from Rice Farming,16326,,16034,,24840,,14216,,14483,,5368,,17900,,17900,,0,,23043,,23043,,0,,45240,,45240,,0,,58777,,58777,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor",18752,,18404,,28887,,16220,,16526,,6222,,20853,,20853,,0,,27137,,27137,,0,,51405,,51405,,0,,62029,,62029,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",28326,,27838,,42535,,22714,,23011,,12984,,37043,,37043,,0,,43133,,43133,,0,,55973,,55973,,0,,71356,,71356,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",28340,,27851,,42560,,22726,,23023,,13006,,38467,,38467,,0,,44778,,44778,,0,,57304,,57304,,0,,72229,,72229,,0,
North Cotabato,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 41),,(n = 30),,(n = 11),,(n = 28),,(n = 24),,(n = 3),,(n = 84),,(n = 59),,(n = 25),,(n = 68),,(n = 49),,(n = 19),,(n = 154),,(n = 112),,(n = 42),,(n = 158),,(n = 102),,(n = 56),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.27,0.75,1.41,0.8,0.89,0.44,1.4,0.7,1.49,0.71,0.83,0.38,1.09,0.71,1.15,0.78,0.94,0.49,0.88,0.48,0.99,0.49,0.61,0.34,1.1,0.64,1.08,0.65,1.15,0.62,0.97,0.54,1.03,0.5,0.86,0.59
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3675,1428,3973,1447,2863,1044,3824,1498,3894,1431,2486,1107,3583,1390,3692,1404,3326,1349,3895,1478,4163,1461,3204,1320,3361,2162,3631,2115,2640,2144,3546,2346,3706,2427,3255,2182
   Price (₱/kg),8.78,0.99,8.99,1.01,8.23,0.71,9.75,0.96,9.69,0.92,9.5,0.44,14.45,1.41,14.51,1.39,14.32,1.49,15.41,1.17,15.38,1.3,15.48,0.8,16.65,1.77,16.6,1.94,16.81,1.18,17.52,1.37,17.56,1.34,17.43,1.42
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,32279,,35704,,23555,,37283,,37714,,23613,,51771,,53555,,47612,,60005,,64006,,49610,,55971,,60258,,44384,,62109,,65084,,56728,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1215,452,1249,485,1121,348,1506,614,1476,626,1883,522,2459,928,2420,985,2550,787,2357,865,2297,853,2512,902,2751,1291,2805,1360,2606,1087,2875,1240,2921,1286,2790,1159
      Fertilizer,3023,1527,3558,1346,1566,937,3345,1502,3533,1379,1253,220,4748,2496,5028,2479,4087,2459,5358,3219,5921,3394,3907,2184,4351,2028,4424,2081,4156,1892,4087,2266,4306,2466,3688,1799
      Herbicides,663,601,543,505,991,739,864,717,870,743,1015,602,938,615,953,628,903,595,1003,701,868,662,1353,694,1056,826,1074,830,1008,823,1030,711,1090,776,920,563
      Insecticides,929,564,847,512,1153,660,1765,1249,1878,1315,1116,271,1836,1067,1770,1160,1990,807,1399,862,1348,820,1530,971,1190,1013,1206,1025,1149,992,1312,1231,1250,1005,1424,1564
      Fungicides,22,81,30,94,0,...,0,...,0,...,0,...,266,532,300,595,186,334,45,149,63,173,0,...,72,242,54,162,120,379,118,286,130,293,98,274
      Other pesticides,101,169,113,189,67,97,211,369,246,389,0,...,119,246,137,254,78,226,176,327,218,357,68,205,352,468,395,447,239,509,349,417,385,474,284,277
 Total Material Costs,5953,,6340,,4898,,7691,,8004,,5267,,10366,,10608,,9794,,10338,,10714,,9370,,9772,,9957,,9279,,9771,,10082,,9204,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,8,31,11,36,0,...,1,6,1,7,0,...,10,60,14,72,0,...,16,79,22,92,0,...,76,348,95,401,25,115,46,275,67,340,8,37
        Land preparation,1695,1234,1846,1356,1283,710,2212,1476,2262,1580,1973,671,1813,1419,1997,1426,1381,1331,2437,1633,2783,1515,1546,1626,2886,2636,3193,2907,2067,1449,2556,1737,2612,1440,2453,2188
        Crop establishment,829,1075,1020,1044,309,1025,786,1106,804,1094,0,...,834,1448,1075,1589,265,820,791,1348,956,1412,366,1088,1434,3531,1810,4018,431,1180,1132,1960,1231,2027,951,1834
        Crop care and maintenance,377,628,508,690,18,60,368,622,411,659,0,...,159,346,185,392,98,189,236,449,280,492,121,291,354,1349,433,1534,143,603,383,776,517,862,139,511
        Harvesting and threshing,4868,2135,5233,2144,3872,1847,5515,2867,5479,2674,3626,1414,7650,3509,7913,3556,7028,3384,9040,3853,9445,3896,7997,3631,9328,7451,9974,7842,7606,6042,9252,6920,9825,7406,8208,5853
        Post-harvest labor,152,313,191,353,44,118,293,218,314,219,80,87,167,305,193,334,105,213,371,465,389,459,326,491,479,430,544,450,305,312,503,569,556,598,407,502
        Permanent hired labor,940,2156,1285,2439,0,...,1830,3044,2135,3193,0,...,1869,4152,2589,4755,168,840,2099,4322,2697,4749,557,2428,1772,4269,1641,4417,2124,3875,1704,4365,1839,4812,1458,3430
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,30,40,38,42,8,27,30,55,31,57,0,...,85,222,114,258,15,56,48,143,56,149,29,126,138,398,179,457,28,98,186,758,256,927,58,194
        Land preparation,563,560,404,536,996,376,360,424,327,411,681,555,995,1091,967,1175,1059,879,971,1146,798,1082,1418,1214,1025,1481,1108,1436,803,1591,1188,1813,823,1324,1852,2338
        Crop establishment,44,103,39,120,60,24,309,290,342,302,119,28,77,88,65,93,107,68,165,242,182,280,119,74,396,691,451,773,248,363,277,515,266,595,295,325
        Crop care and maintenance,834,595,811,664,895,362,817,605,754,621,1333,238,1038,1141,1135,1251,807,804,1102,1131,1095,1229,1119,854,1487,2276,1796,2584,665,537,1145,1279,1082,1417,1258,982
        Harvesting and threshing,9,59,13,69,0,...,0,...,0,...,0,...,48,262,0,...,162,466,2,12,0,...,9,22,32,149,18,133,71,183,0,...,0,...,0,...
        Post-harvest labor,52,51,41,45,83,58,199,226,182,234,243,134,70,136,66,111,79,184,116,144,110,150,133,128,0,...,0,...,0,...,41,212,54,257,18,77
 Power,181,489,138,358,300,750,14,76,17,82,0,...,472,966,394,910,655,1083,618,980,553,1027,787,849,355,752,295,713,515,836,346,796,134,339,732,1168
 Total Labor and Power Costs,10582,,11578,,7869,,12735,,13059,,8055,,15287,,16710,,11928,,18014,,19365,,14527,,19763,,21537,,15032,,18758,,19262,,17839,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,1499,1639,1703,1817,942,843,925,827,913,882,898,449,1417,998,1388,992,1485,1030,1726,1016,1567,832,2137,1322,1118,1709,1268,1911,717,889,1661,1600,1560,1275,1844,2066
      Irrigation,705,986,963,1041,0,...,677,671,760,679,0,...,1121,979,1595,775,0,...,1102,971,1530,806,0,...,935,1188,1286,1220,0,...,517,731,801,776,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,232,308,162,224,395,408,126,205,94,161,209,277,18,53,18,54,19,52,118,134,111,138,130,125
      Land tax,108,252,90,202,158,362,227,220,195,188,289,252,321,307,305,322,359,269,190,216,201,243,164,128,10,85,13,100,0,...,95,841,0,...,268,1404
      Land rent,2785,4066,2608,4385,3268,3163,2966,5263,3461,5544,0,...,13223,4280,13662,4886,12188,2017,10811,4238,11324,4303,9488,3863,1468,5152,1731,5765,766,2892,3500,8286,3687,8880,3160,7141
      Other inputs,114,171,113,187,118,127,78,121,85,127,0,...,510,827,459,849,628,775,362,893,278,522,579,1474,778,505,855,503,573,457,821,444,849,425,770,475
      Interest on capital,13,17,11,15,18,19,11,14,11,14,10,17,342,654,249,507,561,886,542,937,620,1071,343,387,171,554,156,474,209,732,50,110,56,119,40,92
 Total Other Costs,5224,,5489,,4503,,4884,,5425,,1197,,17165,,17821,,15616,,14861,,15613,,12920,,4497,,5327,,2285,,6762,,7064,,6212,
Total Cost of Production,21760,,23406,,17269,,25310,,26489,,14518,,42818,,45139,,37338,,43212,,45692,,36817,,34033,,36822,,26596,,35290,,36408,,33255,
NET RETURNS,10520,,12298,,6286,,11973,,11225,,9095,,8954,,8415,,10274,,16792,,18314,,12793,,21938,,23437,,17788,,26818,,28676,,23473,
Cost/kg,5.92,,5.89,,6.03,,6.62,,6.8,,5.84,,11.95,,12.23,,11.23,,11.09,,10.98,,11.49,,10.13,,10.14,,10.07,,9.95,,9.82,,10.22,
Net Profit Cost Ratio,0.48,,0.53,,0.36,,0.47,,0.42,,0.63,,0.21,,0.19,,0.28,,0.39,,0.4,,0.35,,0.64,,0.64,,0.67,,0.76,,0.79,,0.71,
Net Profit from Rice Farming,10520,,12298,,6286,,11973,,11225,,9095,,8954,,8415,,10274,,16792,,18314,,12793,,21938,,23437,,17788,,26818,,28676,,23473,
"Net Profit from Rice Farming + Returns
 to Own Labor",12052,,13644,,8328,,13689,,12861,,11470,,11267,,10764,,12502,,19197,,20555,,15620,,25017,,26989,,19603,,29654,,31157,,26955,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",14837,,16252,,11596,,16655,,16322,,11470,,24490,,24425,,24691,,30008,,31879,,25109,,26484,,28720,,20369,,33154,,34845,,30115,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",14850,,16263,,11614,,16666,,16333,,11480,,24832,,24675,,25251,,30551,,32499,,25452,,26655,,28876,,20579,,33204,,34901,,30154,
South Cotabato,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 49),,(n = 40),,(n = 9),,(n = 25),,(n = 24),,(n = 1),,(n = 59),,(n = 50),,(n = 9),,(n = 56),,(n = 47),,(n = 9),,(n = 116),,(n = 104),,(n = 12),,(n = 116),,(n = 92),,(n = 24),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.06,0.64,1.06,0.69,1.06,0.41,0.89,0.41,0.88,0.42,1,...,1.05,0.64,1.08,0.66,0.89,0.55,1.03,0.65,1.05,0.66,0.89,0.56,1.26,1.18,1.3,1.23,0.83,0.54,1.09,0.64,1.09,0.66,1.13,0.58
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),4427,1217,4430,1165,4415,1509,4892,1337,5012,1223,2028,...,4466,1182,4631,1092,3546,1306,4696,1470,4854,1376,3871,1747,3855,2007,4052,1929,2143,1925,4156,1939,4521,1959,2758,1019
   Price (₱/kg),9.45,0.6,9.64,0.49,8.62,0.28,11.41,0.84,11.4,0.86,11.5,...,14.83,1.49,14.93,1.43,14.23,1.74,15.99,1.05,16.13,0.82,15.26,1.73,17.11,1.16,17.15,1.18,16.77,0.93,17.88,1.22,17.96,1.16,17.57,1.41
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,41835,,42685,,38070,,55814,,57156,,23322,,66207,,69155,,50476,,75086,,78294,,59055,,65944,,69482,,35929,,74314,,81205,,48453,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1474,454,1539,378,1183,650,1703,509,1724,508,1200,...,2520,941,2534,872,2440,1326,2199,734,2163,679,2388,1000,4111,1972,4050,1958,4644,2102,4382,2385,4488,2336,3975,2576
      Fertilizer,3256,1198,3240,1152,3325,1463,3491,1214,3558,1192,1875,...,4654,2037,4727,1997,4247,2335,4616,1349,4743,1404,3955,763,5213,2583,5263,2594,4783,2551,4577,2464,4679,2222,4184,3259
      Herbicides,685,382,725,387,506,323,771,401,780,407,560,...,837,704,809,634,989,1052,685,517,653,398,855,942,1431,1265,1383,1259,1848,1300,1188,616,1192,585,1171,737
      Insecticides,1009,772,963,754,1213,862,1613,1221,1607,1247,1750,...,1292,825,1268,776,1426,1104,1086,554,1035,509,1355,720,1127,653,1124,623,1158,911,1427,1527,1399,1580,1535,1330
      Fungicides,47,116,47,116,46,121,96,274,100,280,0,...,153,421,162,440,100,300,28,109,33,118,0,...,132,392,110,356,322,610,81,296,89,326,48,129
      Other pesticides,4,30,0,...,24,71,0,...,0,...,0,...,75,138,82,141,40,120,0,...,0,...,0,...,196,282,190,277,250,334,235,358,223,371,281,306
 Total Material Costs,6475,,6514,,6298,,7674,,7769,,5385,,9530,,9582,,9242,,8615,,8627,,8552,,12210,,12119,,13006,,11889,,12070,,11194,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,2,11,2,13,0,...,0,...,0,...,0,...,2,16,3,18,0,...,14,76,16,83,0,...,22,170,25,179,0,...,0,...,0,...,0,...
        Land preparation,1711,1226,2054,1063,189,567,1952,1355,2033,1320,0,...,2728,1836,2576,1825,3574,1757,2867,1759,2823,1877,3097,971,3363,2709,3308,2821,3842,1385,3196,2490,3326,2597,2697,1998
        Crop establishment,615,911,340,730,1836,570,505,746,455,718,1700,...,1108,1447,1175,1484,739,1227,977,1624,1161,1714,14,42,1069,2071,1150,2169,367,465,934,1577,1063,1723,441,606
        Crop care and maintenance,296,472,347,501,67,200,358,574,373,581,0,...,163,433,192,465,0,...,159,380,119,307,372,624,563,1082,569,1114,511,781,479,1030,525,1119,303,553
        Harvesting and threshing,5902,1795,5945,1692,5712,2308,7336,2357,7486,2282,3732,...,8943,2975,9214,2986,7433,2552,10588,3652,10901,3435,8951,4499,7562,4832,7767,4811,5783,4852,8282,3970,8888,4114,5958,2178
        Post-harvest labor,141,232,84,162,393,329,101,200,105,203,0,...,266,310,292,311,118,273,200,278,238,289,0,...,561,471,591,476,298,339,591,419,646,410,383,397
        Permanent hired labor,252,1058,309,1166,0,...,857,3537,893,3609,0,...,1498,4307,1767,4633,0,...,1097,2837,1307,3057,0,...,2303,4545,2569,4730,0,...,429,2585,541,2896,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,22,39,8,22,86,34,18,39,15,38,88,...,202,346,236,366,10,21,183,325,218,344,0,...,68,267,76,281,0,...,40,179,50,200,0,...
        Land preparation,527,551,390,468,1131,499,591,459,549,416,1613,...,1073,1144,1039,1151,1262,1150,1109,1073,1180,1136,740,560,887,1309,765,984,1950,2733,904,1482,948,1564,734,1127
        Crop establishment,43,48,42,39,46,79,323,309,333,311,75,...,121,183,96,139,260,316,271,627,210,652,590,343,249,398,258,415,170,193,290,500,334,549,122,139
        Crop care and maintenance,1630,1126,1742,1162,1130,827,880,522,846,504,1706,...,1954,1681,2127,1761,998,529,2703,2043,2953,2100,1399,1032,1484,1685,1395,1641,2250,1937,1410,2104,1581,2307,757,723
        Harvesting and threshing,26,179,31,198,0,...,25,125,26,128,0,...,20,156,24,170,0,...,24,180,29,197,0,...,41,314,46,331,0,...,10,78,13,88,0,...
        Post-harvest labor,20,42,8,25,76,56,273,204,261,199,555,...,17,61,20,66,5,15,29,78,34,84,6,17,0,...,0,...,0,...,3,16,4,18,0,...
 Power,15,107,19,119,0,...,0,...,0,...,0,...,425,811,502,860,0,...,187,598,222,648,0,...,123,312,137,327,0,...,261,422,274,408,210,481
 Total Labor and Power Costs,11202,,11323,,10665,,13220,,13376,,9468,,18521,,19263,,14398,,20409,,21412,,15169,,18296,,18656,,15171,,16830,,18193,,11604,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,451,272,432,280,538,227,427,293,440,291,100,...,613,553,657,574,368,336,432,443,388,438,664,418,654,967,593,788,1188,1900,990,810,960,835,1105,711
      Irrigation,567,723,695,743,0,...,538,522,560,521,0,...,1056,1016,1246,990,0,...,1042,895,1241,840,0,...,1031,981,1150,968,0,...,241,683,303,755,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,128,180,120,164,173,259,139,116,146,117,102,109,19,53,15,39,50,117,87,90,88,92,83,87
      Land tax,282,891,164,407,807,1890,252,597,262,607,0,...,162,281,188,297,14,43,107,160,96,138,165,248,4,33,5,35,0,...,138,782,174,876,0,...
      Land rent,3894,5273,3808,5606,4277,3656,7685,9894,8005,9973,0,...,17159,5235,17693,5205,14195,4594,16066,4851,16499,4415,13805,6547,1122,3581,890,3342,3136,4954,5838,10915,6204,11905,4436,5687
      Other inputs,108,205,72,174,269,263,150,192,156,194,0,...,263,536,275,563,194,368,115,206,128,220,51,87,928,490,971,460,560,601,1703,4498,1982,5017,631,250
      Interest on capital,25,22,23,21,36,24,17,27,18,27,0,...,380,825,348,752,559,1194,84,325,83,344,90,219,493,1696,447,1662,897,2005,387,1281,481,1425,29,14
 Total Other Costs,5328,,5194,,5927,,9068,,9442,,100,,19760,,20527,,15502,,17985,,18580,,14876,,4252,,4070,,5831,,9384,,10192,,6284,
Total Cost of Production,23005,,23031,,22889,,29961,,30587,,14953,,47811,,49372,,39142,,47009,,48619,,38597,,34758,,34844,,34008,,38102,,40455,,29082,
NET RETURNS,18831,,19654,,15181,,25852,,26569,,8369,,18396,,19783,,11335,,28077,,29675,,20458,,31186,,34638,,1922,,36212,,40750,,19371,
Cost/kg,5.2,,5.2,,5.18,,6.12,,6.1,,7.37,,10.71,,10.66,,11.04,,10.01,,10.02,,9.97,,9.02,,8.6,,15.87,,9.17,,8.95,,10.54,
Net Profit Cost Ratio,0.82,,0.85,,0.66,,0.86,,0.87,,0.56,,0.38,,0.4,,0.29,,0.6,,0.61,,0.53,,0.9,,0.99,,0.06,,0.95,,1.01,,0.67,
Net Profit from Rice Farming,18831,,19654,,15181,,25852,,26569,,8369,,18396,,19783,,11335,,28077,,29675,,20458,,31186,,34638,,1922,,36212,,40750,,19371,
"Net Profit from Rice Farming + Returns
 to Own Labor",21098,,21876,,17649,,27963,,28599,,12405,,21784,,23325,,13869,,32398,,34299,,23192,,33916,,37178,,6292,,38869,,43679,,20984,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",24992,,25685,,21926,,35648,,36605,,12405,,38943,,41017,,28064,,48463,,50797,,36996,,35038,,38068,,9428,,44707,,49883,,25420,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",25017,,25708,,21962,,35665,,36623,,12405,,39323,,41365,,28623,,48548,,50881,,37086,,35531,,38515,,10325,,45095,,50364,,25448,
Sultan Kudarat,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 53),,(n = 40),,(n = 13),,(n = 27),,(n = 21),,(n = 7),,(n = 58),,(n = 43),,(n = 15),,(n = 40),,(n = 40),,(n = 0),,(n = 120),,(n = 86),,(n = 34),,(n = 110),,(n = 70),,(n = 40),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.14,0.6,1.31,0.58,0.62,0.22,1.16,0.86,1.27,0.95,0.75,0.2,1.34,1.97,1.16,0.83,1.87,3.65,1.09,1.19,1.09,1.19,...,...,1.11,0.8,1.05,0.51,1.25,1.28,1.16,0.73,1.13,0.55,1.19,0.98
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),4501,1769,5167,1369,2454,1205,3258,1450,3639,1362,2413,1517,3612,1984,3889,1906,2816,2052,4319,1803,4319,1803,...,...,3524,2139,3986,2245,2357,1248,3578,2107,4130,2170,2610,1602
   Price (₱/kg),8.51,0.95,8.4,0.95,8.85,0.88,9.34,0.86,9.36,0.94,9.26,0.52,14.11,1.3,14.14,1.16,14.01,1.69,15.08,1.54,15.08,1.54,...,...,16.63,1.65,16.83,1.6,16.12,1.67,18.18,1.15,18.39,1.22,17.82,0.92
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,38313,,43414,,21712,,30444,,34047,,22335,,50958,,55003,,39463,,65138,,65138,,0,,58616,,67102,,37989,,65055,,75961,,46520,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,1384,486,1373,495,1418,473,1383,324,1255,201,1713,399,2407,823,2300,804,2713,829,2694,1179,2694,1179,...,...,3904,1617,3661,1420,4517,1923,3544,1674,3549,1184,3534,2313
      Fertilizer,3118,1016,3219,957,2810,1166,2769,874,2883,722,2603,1320,4349,1942,4310,1788,4461,2399,5804,2957,5804,2957,...,...,5108,3094,5014,3071,5345,3187,3658,1571,3704,1682,3578,1371
      Herbicides,685,608,598,516,954,794,667,380,608,355,789,446,753,668,576,552,1260,730,1025,669,1025,669,...,...,1663,956,1702,1050,1565,667,1343,799,1256,731,1494,895
      Insecticides,1137,588,1184,575,992,626,1122,712,1233,592,826,944,1195,886,1136,849,1364,994,1262,698,1262,698,...,...,1255,1075,1199,1061,1398,1111,1316,1821,1429,2221,1119,689
      Fungicides,39,146,51,166,0,...,8,40,10,46,0,...,26,85,33,96,8,32,198,397,198,397,...,...,150,548,141,587,173,443,146,440,144,376,150,539
      Other pesticides,5,25,0,1,19,48,0,...,0,...,0,...,83,183,102,204,27,80,112,230,112,230,...,...,257,398,253,437,268,283,303,408,274,341,353,506
 Total Material Costs,6369,,6426,,6194,,5949,,5989,,5932,,8813,,8457,,9832,,11094,,11094,,0,,12336,,11969,,13266,,10310,,10357,,10228,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,9,40,12,46,0,...,5,26,6,29,0,...,15,69,20,80,0,...,7,32,7,32,...,...,0,...,0,...,0,...,19,99,30,123,0,...
        Land preparation,916,1068,773,993,1356,1207,1541,756,1232,550,2390,585,1727,1537,1691,1668,1832,1119,1478,1379,1478,1379,...,...,2755,2545,3035,2645,2047,2149,2813,1736,2965,1928,2547,1316
        Crop establishment,988,1159,1082,1230,698,881,241,710,310,795,0,...,1034,1398,1380,1474,40,102,1398,1493,1398,1493,...,...,117,265,125,272,96,249,572,1879,870,2305,52,178
        Crop care and maintenance,120,337,159,381,0,...,15,60,19,68,0,...,170,432,143,352,248,615,159,443,159,443,...,...,390,899,432,987,284,619,359,1021,520,1239,77,266
